Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2021-08-13,Brentford,Arsenal,2.0,0.0,H,74,74,75,74,80,82,80,77,-6
2021-08-14,Man United,Leeds,5.0,1.0,H,83,85,83,81,76,77,78,75,7
2021-08-14,Burnley,Brighton,1.0,2.0,A,76,77,75,76,76,77,75,76,0
2021-08-14,Chelsea,Crystal Palace,3.0,0.0,H,84,83,86,83,76,76,76,75,8
2021-08-14,Everton,Southampton,3.0,1.0,H,78,78,78,77,76,75,77,76,2
2021-08-14,Leicester,Wolves,1.0,0.0,H,80,80,81,79,78,79,80,78,2
2021-08-14,Watford,Aston Villa,3.0,2.0,H,74,75,75,73,78,79,78,79,-4
2021-08-14,Norwich,Liverpool,0.0,3.0,A,73,75,73,73,85,86,84,85,-12
2021-08-15,Newcastle,West Ham,2.0,4.0,A,77,77,77,77,79,80,78,78,-2
2021-08-15,Tottenham,Man City,1.0,0.0,H,81,83,80,79,85,84,87,86,-4
2021-08-21,Liverpool,Burnley,2.0,0.0,H,85,86,84,85,76,77,75,76,9
2021-08-21,Aston Villa,Newcastle,2.0,0.0,H,78,79,78,79,77,77,77,77,1
2021-08-21,Crystal Palace,Brentford,0.0,0.0,D,76,76,76,75,74,74,75,74,2
2021-08-21,Leeds,Everton,2.0,2.0,D,76,77,78,75,78,78,78,77,-2
2021-08-21,Man City,Norwich,5.0,0.0,H,85,84,87,86,73,75,73,73,12
2021-08-21,Brighton,Watford,2.0,0.0,H,76,77,75,76,74,75,75,73,2
2021-08-22,Southampton,Man United,1.0,1.0,D,76,75,77,76,83,85,83,81,-7
2021-08-22,Wolves,Tottenham,0.0,1.0,A,78,79,80,78,81,83,80,79,-3
2021-08-22,Arsenal,Chelsea,0.0,2.0,A,80,82,80,77,84,83,86,83,-4
2021-08-23,West Ham,Leicester,4.0,1.0,H,79,80,78,78,80,80,81,79,-1
2021-08-28,Man City,Arsenal,5.0,0.0,H,85,84,87,86,80,82,80,77,5
2021-08-28,Aston Villa,Brentford,1.0,1.0,D,78,79,78,79,74,74,75,74,4
2021-08-28,Brighton,Everton,0.0,2.0,A,76,77,75,76,78,78,78,77,-2
2021-08-28,Newcastle,Southampton,2.0,2.0,D,77,77,77,77,76,75,77,76,1
2021-08-28,Norwich,Leicester,1.0,2.0,A,73,75,73,73,80,80,81,79,-7
2021-08-28,West Ham,Crystal Palace,2.0,2.0,D,79,80,78,78,76,76,76,75,3
2021-08-28,Liverpool,Chelsea,1.0,1.0,D,85,86,84,85,84,83,86,83,1
2021-08-29,Burnley,Leeds,1.0,1.0,D,76,77,75,76,76,77,78,75,0
2021-08-29,Tottenham,Watford,1.0,0.0,H,81,83,80,79,74,75,75,73,7
2021-08-29,Wolves,Man United,0.0,1.0,A,78,79,80,78,83,85,83,81,-5
2021-09-11,Crystal Palace,Tottenham,3.0,0.0,H,76,76,76,75,81,83,80,79,-5
2021-09-11,Arsenal,Norwich,1.0,0.0,H,80,82,80,77,73,75,73,73,7
2021-09-11,Brentford,Brighton,0.0,1.0,A,74,74,75,74,76,77,75,76,-2
2021-09-11,Leicester,Man City,0.0,1.0,A,80,80,81,79,85,84,87,86,-5
2021-09-11,Man United,Newcastle,4.0,1.0,H,83,85,83,81,77,77,77,77,6
2021-09-11,Southampton,West Ham,0.0,0.0,D,76,75,77,76,79,80,78,78,-3
2021-09-11,Watford,Wolves,0.0,2.0,A,74,75,75,73,78,79,80,78,-4
2021-09-11,Chelsea,Aston Villa,3.0,0.0,H,84,83,86,83,78,79,78,79,6
2021-09-12,Leeds,Liverpool,0.0,3.0,A,76,77,78,75,85,86,84,85,-9
2021-09-13,Everton,Burnley,3.0,1.0,H,78,78,78,77,76,77,75,76,2
2021-09-17,Newcastle,Leeds,1.0,1.0,D,77,77,77,77,76,77,78,75,1
2021-09-18,Wolves,Brentford,0.0,2.0,A,78,79,80,78,74,74,75,74,4
2021-09-18,Burnley,Arsenal,0.0,1.0,A,76,77,75,76,80,82,80,77,-4
2021-09-18,Liverpool,Crystal Palace,3.0,0.0,H,85,86,84,85,76,76,76,75,9
2021-09-18,Man City,Southampton,0.0,0.0,D,85,84,87,86,76,75,77,76,9
2021-09-18,Norwich,Watford,1.0,3.0,A,73,75,73,73,74,75,75,73,-1
2021-09-18,Aston Villa,Everton,3.0,0.0,H,78,79,78,79,78,78,78,77,0
2021-09-19,Brighton,Leicester,2.0,1.0,H,76,77,75,76,80,80,81,79,-4
2021-09-19,West Ham,Man United,1.0,2.0,A,79,80,78,78,83,85,83,81,-4
2021-09-19,Tottenham,Chelsea,0.0,3.0,A,81,83,80,79,84,83,86,83,-3
2021-09-25,Chelsea,Man City,0.0,1.0,A,84,83,86,83,85,84,87,86,-1
2021-09-25,Man United,Aston Villa,0.0,1.0,A,83,85,83,81,78,79,78,79,5
2021-09-25,Everton,Norwich,2.0,0.0,H,78,78,78,77,73,75,73,73,5
2021-09-25,Leeds,West Ham,1.0,2.0,A,76,77,78,75,79,80,78,78,-3
2021-09-25,Leicester,Burnley,2.0,2.0,D,80,80,81,79,76,77,75,76,4
2021-09-25,Watford,Newcastle,1.0,1.0,D,74,75,75,73,77,77,77,77,-3
2021-09-25,Brentford,Liverpool,3.0,3.0,D,74,74,75,74,85,86,84,85,-11
2021-09-26,Southampton,Wolves,0.0,1.0,A,76,75,77,76,78,79,80,78,-2
2021-09-26,Arsenal,Tottenham,3.0,1.0,H,80,82,80,77,81,83,80,79,-1
2021-09-27,Crystal Palace,Brighton,1.0,1.0,D,76,76,76,75,76,77,75,76,0
2021-10-02,Man United,Everton,1.0,1.0,D,83,85,83,81,78,78,78,77,5
2021-10-02,Burnley,Norwich,0.0,0.0,D,76,77,75,76,73,75,73,73,3
2021-10-02,Chelsea,Southampton,3.0,1.0,H,84,83,86,83,76,75,77,76,8
2021-10-02,Leeds,Watford,1.0,0.0,H,76,77,78,75,74,75,75,73,2
2021-10-02,Wolves,Newcastle,2.0,1.0,H,78,79,80,78,77,77,77,77,1
2021-10-02,Brighton,Arsenal,0.0,0.0,D,76,77,75,76,80,82,80,77,-4
2021-10-03,Crystal Palace,Leicester,2.0,2.0,D,76,76,76,75,80,80,81,79,-4
2021-10-03,Tottenham,Aston Villa,2.0,1.0,H,81,83,80,79,78,79,78,79,3
2021-10-03,West Ham,Brentford,1.0,2.0,A,79,80,78,78,74,74,75,74,5
2021-10-03,Liverpool,Man City,2.0,2.0,D,85,86,84,85,85,84,87,86,0
2021-10-16,Watford,Liverpool,0.0,5.0,A,74,75,75,73,85,86,84,85,-11
