Team,Points,Goal_Diff,Win_Rate
Man City,80,59.0,0.7575757575757576
Liverpool,79,63.0,0.7272727272727273
Chelsea,65,40.0,0.59375
Arsenal,60,12.0,0.5757575757575758
Tottenham,58,18.0,0.5454545454545454
Man United,54,2.0,0.4411764705882353
West Ham,52,8.0,0.4411764705882353
Wolves,49,4.0,0.45454545454545453
Newcastle,43,-15.0,0.3235294117647059
Leicester,42,-4.0,0.34375
Brighton,41,-11.0,0.2647058823529412
Brentford,40,-8.0,0.3235294117647059
Southampton,40,-16.0,0.2647058823529412
Crystal Palace,37,2.0,0.25
Aston Villa,37,-4.0,0.34375
Leeds,33,-30.0,0.25
Burnley,31,-16.0,0.18181818181818182
Everton,29,-21.0,0.25
Watford,22,-36.0,0.18181818181818182
Norwich,21,-47.0,0.15151515151515152
