Team,OVA,ATT,MID,DEF
Manchester City,85,86,88,82
Chelsea,83,85,83,82
Liverpool,83,86,82,82
Tottenham Hotspur,83,86,82,83
Arsenal,82,82,83,80
Manchester United,82,83,83,80
Everton,79,77,80,79
West Ham United,78,78,78,77
Leicester City,78,78,76,79
Watford,77,78,78,77
Burnley,77,77,75,77
Crystal Palace,77,79,77,76
Wolverhampton Wanderers,77,75,80,76
AFC Bournemouth,77,79,76,77
Newcastle United,76,75,77,76
Brighton & Hove Albion,76,76,77,76
Southampton,76,75,77,74
Fulham,75,78,76,73
Huddersfield Town,74,72,73,75
Leeds United,73,73,72,73
West Bromwich Albion,73,74,72,74
Cardiff City,73,73,73,72
Norwich City,72,76,72,71
Aston Villa,72,73,73,70
Sheffield United,72,72,72,72
Middlesbrough,72,70,72,72
Nottingham Forest,72,73,71,71
Stoke City,72,72,73,71
Sheffield Wednesday,71,71,71,69
Derby County,71,72,71,71
Swansea City,71,73,70,71
Reading,70,71,69,70
Preston North End,70,71,71,69
Birmingham City,70,72,70,70
Bristol City,70,72,71,70
Brentford,70,73,69,69
Queens Park Rangers,69,70,69,69
Millwall,69,69,69,69
Wigan Athletic,69,69,69,69
Hull City,69,70,70,68
Blackburn Rovers,68,69,68,69
Bolton Wanderers,68,65,68,68
Ipswich Town,68,67,66,68
Rotherham United,67,67,68,67
