Div,Date,Time,Home,Away
E0,17/04/2022,16:30,Wolves,Man City
E0,25/04/2022,20:00,Crystal Palace,Leeds
E0,28/04/2022,19:45,Man United,Chelsea
E0,30/04/2022,12:30,Newcastle,Liverpool
E0,30/04/2022,15:00,Aston Villa,Norwich
E0,30/04/2022,15:00,Southampton,Crystal Palace
E0,30/04/2022,15:00,Watford,Burnley
E0,30/04/2022,15:00,Wolves,Brighton
E0,30/04/2022,17:30,Leeds,Man City
E0,01/05/2022,14:00,Everton,Chelsea
E0,01/05/2022,14:00,Tottenham,Leicester
E0,01/05/2022,16:30,West Ham,Arsenal
E0,02/05/2022,20:00,Man United,Brentford
E0,07/05/2022,15:00,Brentford,Southampton
E0,07/05/2022,15:00,Burnley,Aston Villa
E0,07/05/2022,15:00,Chelsea,Wolves
E0,07/05/2022,15:00,Crystal Palace,Watford
E0,07/05/2022,17:30,Brighton,Man United
E0,07/05/2022,19:45,Liverpool,Tottenham
E0,08/05/2022,14:00,Arsenal,Leeds
E0,08/05/2022,14:00,Leicester,Everton
E0,08/05/2022,14:00,Norwich,West Ham
E0,08/05/2022,16:30,Man City,Newcastle
E0,10/05/2022,20:00,Aston Villa,Liverpool
E0,11/05/2022,19:30,Leeds,Chelsea
E0,11/05/2022,19:45,Leicester,Norwich
E0,11/05/2022,19:45,Watford,Everton
E0,12/05/2022,12:00,Tottenham,Arsenal
E0,15/05/2022,12:00,Tottenham,Burnley
E0,15/05/2022,14:00,Aston Villa,Crystal Palace
E0,15/05/2022,14:00,Everton,Brentford
E0,15/05/2022,14:00,Leeds,Brighton
E0,15/05/2022,14:00,Watford,Leicester
E0,15/05/2022,14:00,Wolves,Norwich
E0,15/05/2022,16:30,Southampton,Liverpool
E0,15/05/2022,16:30,West Ham,Man City
E0,16/05/2022,20:00,Newcastle,Arsenal
E0,19/05/2022,19:45,Everton,Crystal Palace
E0,19/05/2022,20:00,Aston Villa,Burnley
E0,19/05/2022,20:00,Chelsea,Leicester
E0,22/05/2022,16:00,Arsenal,Everton
E0,22/05/2022,16:00,Brentford,Leeds
E0,22/05/2022,16:00,Brighton,West Ham
E0,22/05/2022,16:00,Burnley,Newcastle
E0,22/05/2022,16:00,Chelsea,Watford
E0,22/05/2022,16:00,Crystal Palace,Man United
E0,22/05/2022,16:00,Leicester,Southampton
E0,22/05/2022,16:00,Liverpool,Wolves
E0,22/05/2022,16:00,Man City,Aston Villa
E0,22/05/2022,16:00,Norwich,Tottenham
