Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff,HT_win_rate_against,AT_win_rate_against
2006-08-19,Arsenal,Aston Villa,1.0,1.0,D,82,80,78,74,75,76,74,73,7,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-19,Bolton,Tottenham,2.0,0.0,H,76,78,71,68,79,80,77,77,-3,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-19,Everton,Watford,2.0,1.0,H,77,74,74,74,68,67,67,68,9,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-19,Newcastle,Wigan,2.0,1.0,H,79,82,77,73,74,71,71,69,5,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-19,Portsmouth,Blackburn,3.0,0.0,H,75,77,73,75,77,75,77,71,-2,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-19,Reading,Middlesbrough,3.0,2.0,H,71,72,71,64,76,80,75,71,-5,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-19,Sheffield United,Liverpool,1.0,1.0,D,72,71,66,69,81,81,76,73,-9,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-19,West Ham,Charlton,3.0,1.0,H,76,77,76,77,75,76,73,70,1,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-20,Chelsea,Man City,3.0,0.0,H,84,86,81,80,77,74,75,75,7,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
2006-08-20,Man United,Fulham,5.0,1.0,H,82,78,80,82,75,77,72,74,7,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,-1,-1,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,,,0,0,0,0.0,,0.0,,
